id;nome;etrs89X;etrs89Y;ed50X;ed50Y;Huso
130;Monte Eixil;575639.457;4836404.719;575765.04;4836617.72;29
170;Couce do Penido;585240.429;4836319.55;585365.66;4836532.66;29
173;Monte Herbeira;585209.217;4841890.953;585334.37;4842103.99;29
193;Alto do Masanteo;591209.715;4841784.267;591334.72;4841997.44;29
221;Rande;600270.851;4838318.287;600395.84;4838531.66;29
245;Cañoles;604240.038;4844962.595;604364.83;4845175.91;29
251;Muro Novo;606780.133;4839099.816;606905.1;4839313.25;29
256;Semáforo;607162.012;4848042.802;607286.88;4848256.32;29
272;Facho;611376.08;4840954.326;611501.08;4841167.84;29
303;Vela;620754.986;4841969.247;620880.11;4842182.82;29
310;A Medela;623274.669;4836367.47;623399.8;4836580.95;29
322;San Cibrao;625941.005;4839776.762;626066.22;4839990.28;29
340;Pena Rama;630559.475;4836325.564;630684.61;4836539.01;29
10804;Otero II;405281.714;4750611.855;405389.31;4750817.94;30
10811;Peña Mora;407944.747;4745394.582;408052.49;4745600.78;30
10827;Cotio;409892.302;4757005.231;409999.73;4757211.4;30
10835;Somaloma;412462.595;4752897.035;412570.1;4753103.29;30
10853;Biguenzo;418047.624;4748420.978;418155.23;4748627.41;30
10857;Cabañas de Tomasuco;417258.829;4756977.997;417366.25;4757184.35;30
10892;Cruz de Lastra;429041.017;4746634.708;429148.64;4746841.35;30
10895;Castro;429912.049;4753343.006;430019.49;4753549.64;30
10909;Peñaplato;430521.864;4760498.743;430629.16;4760705.37;30
10911;Escampado;435781.255;4746067.223;435888.66;4746274.03;30
10915;Cielma;435242.321;4752693.578;435349.61;4752900.34;30
10932;Peña Nava;438997.121;4747367.592;439104.43;4747574.44;30
10936;Navajo;439713.204;4755181.177;439820.36;4755388;30
10956;Escaño;445847.875;4754791.296;445954.87;4754998.29;30
10962;Canales;447770.304;4746686.19;447877.38;4746893.28;30
10975;San Miguel;450416.792;4752500.247;450523.73;4752707.38;30
10991;Peña Corva;456134.95;4745394.458;456241.84;4745601.66;30
10999;Fresnedo;456375.501;4760214.947;456482.18;4760422.18;30
11004;Corva;460306.291;4751446.412;460413.14;4751653.73;30
11025;San Pedro;465000.562;4751861.196;465107.13;4752068.53;30
11042;Luzón;469926.026;4746202.74;470032.55;4746410;30
14660;Monte Perdido;256998.904;4729051.074;257091.74;4729254.09;31
14711;La Hoya;268801.807;4729398.763;268894.22;4729602.11;31
14857;Estinuera;308708.442;4741058.03;308802.36;4741263.65;31
14863;Entecada;311422.667;4732078.553;311516.47;4732283.87;31
14887;Montlude;316678.166;4739404.041;316772.3;4739609.45;31
14924;Areño;325619.604;4733738.883;325714;4733943.69;31
14951;Argulls;335370.842;4727687.859;335465.21;4727892.33;31
14967;Mill;337231.978;4739253.152;337326.81;4739457.8;31
15012;Montrouge;350213.556;4730023.987;350308.13;4730227.72;31
15042;Flavisella;358964.114;4730266.293;359058.37;4730469.62;31
